timestamp,open,high,low,close,volume
2022-04-24,179.01,191.3,179.01,187.18,38956
2022-04-25,187.18,190.48,185.61,188.66,36526
2022-04-26,188.0,189.65,185.94,188.0,23146
2022-04-27,186.44,190.39,185.53,190.31,30045
2022-04-28,189.57,189.57,185.69,187.18,20035
2022-05-02,183.88,184.7,179.84,180.33,31021
2022-05-04,178.27,181.41,174.56,175.06,39752
2022-05-05,173.16,177.28,172.34,174.81,36948
2022-05-08,174.81,181.41,174.56,181.41,21117
2022-05-09,181.41,182.23,177.78,178.93,13076
2022-05-10,181.32,181.82,176.46,180.75,16240
2022-05-11,182.23,185.53,179.84,184.7,40793
2022-05-12,185.53,187.43,181.49,183.06,41004
2022-05-17,181.41,183.06,178.11,180.17,26510
2022-05-18,180.17,182.23,178.11,181.41,18975
2022-05-19,179.76,181.41,177.94,178.93,17123
2022-05-20,181.32,182.23,178.35,178.93,13950
2022-05-23,177.28,177.28,174.07,174.15,23394
2022-05-24,173.98,178.03,173.16,176.29,10785
2022-05-25,177.28,177.61,171.51,175.96,32921
2022-05-26,177.28,177.37,174.81,174.81,30756
2022-05-27,177.28,177.28,171.35,174.81,37400
2022-05-30,173.16,173.24,169.94,172.17,24038
2022-05-31,169.04,172.25,168.87,170.69,18322
2022-06-01,173.98,173.98,169.86,173.16,8700
2022-06-02,173.98,173.98,169.94,170.19,8142
2022-06-03,169.12,171.35,168.21,169.04,26076
2022-06-06,171.51,173.16,169.12,170.27,11483
2022-06-07,170.69,170.69,169.04,169.04,9834
2022-06-08,170.69,177.28,168.21,173.24,13767
2022-06-09,170.77,174.81,169.04,170.27,23200
2022-06-10,168.21,169.78,166.89,169.04,4967
2022-06-13,165.82,169.86,165.82,168.05,5776
2022-06-14,166.56,169.37,165.49,166.56,23549
2022-06-15,167.39,167.39,163.27,164.91,18912
2022-06-16,168.21,168.21,164.34,166.56,15869
2022-06-17,166.81,166.81,164.83,164.83,4373
2022-06-19,163.27,166.4,161.7,161.78,18921
2022-06-20,159.14,162.28,158.32,159.22,20188
2022-06-21,161.62,168.21,157.58,162.03,11300
2022-06-22,160.79,161.62,159.47,159.97,3960
2022-06-23,157.49,159.97,153.95,155.93,29246
2022-06-24,155.84,162.28,155.02,157.49,4150
2022-06-26,159.97,170.69,159.97,167.39,15277
2022-06-27,164.09,169.04,162.44,162.44,38792
2022-06-28,160.87,162.44,159.97,160.63,6690
2022-06-29,162.44,167.39,162.44,167.39,13421
2022-06-30,167.39,175.63,164.91,175.63,48465
2022-07-01,177.28,177.28,172.67,174.81,8548
2022-07-03,174.81,178.93,171.84,177.28,31617
2022-07-04,177.28,181.41,172.34,175.63,73106
2022-07-05,172.34,176.46,169.86,171.51,21120
2022-07-06,168.3,172.83,165.16,170.69,21307
2022-07-07,168.21,174.73,167.8,168.87,9805
2022-07-08,171.1,171.1,161.62,161.62,17535
2022-07-11,160.79,165.24,159.22,162.44,20513
2022-07-12,163.27,166.56,160.05,164.91,22097
2022-07-13,167.39,168.21,164.09,166.65,19132
2022-07-14,169.04,169.04,165.9,168.21,11145
2022-07-15,166.56,167.8,165.0,166.98,8555
2022-07-17,167.39,169.86,165.66,165.66,18328
2022-07-18,164.34,177.45,164.34,173.33,60667
2022-07-19,175.63,178.85,171.92,174.48,24379
2022-07-20,177.94,177.94,171.26,173.16,12456
2022-07-21,173.24,173.82,171.35,172.34,11175
2022-07-22,170.69,170.69,168.21,170.6,13496
2022-07-24,173.16,173.98,167.47,173.98,37948
2022-07-25,176.38,179.76,174.81,179.76,44366
2022-07-26,177.28,177.28,172.34,174.81,20546
2022-07-27,171.51,174.81,169.86,174.81,21660
2022-07-28,171.92,183.88,171.92,180.58,163476
2022-07-29,182.23,193.77,181.41,190.81,150453
2022-07-31,192.13,198.47,186.77,197.07,184324
2022-08-01,197.07,208.29,192.7,193.28,102497
2022-08-02,196.17,196.17,186.35,187.59,77279
2022-08-03,188.0,193.77,181.82,188.83,48969
2022-08-04,191.22,191.3,181.08,181.49,50063
2022-08-05,182.23,185.53,179.76,181.41,29125
2022-08-07,183.88,187.18,181.41,184.7,28027
