timestamp,open,high,low,close,volume
2022-04-24,327.0,351.9,327.0,341.1,9523
2022-04-25,341.1,350.0,335.0,338.4,8479
2022-04-26,344.9,345.1,334.0,335.3,3794
2022-04-27,331.0,342.0,321.5,340.9,2898
2022-04-28,345.0,347.0,329.1,330.0,6065
2022-05-02,323.4,323.4,313.1,320.0,5119
2022-05-04,320.0,324.0,314.1,315.0,5579
2022-05-05,310.0,315.0,300.0,308.0,3583
2022-05-08,302.0,312.0,300.0,312.0,6235
2022-05-09,312.0,318.0,308.0,309.0,3176
2022-05-10,315.0,321.0,314.9,321.0,2913
2022-05-11,327.0,336.0,317.1,336.0,13116
2022-05-12,330.0,338.9,321.5,321.5,10533
2022-05-17,327.0,327.0,310.0,310.0,2043
2022-05-18,315.0,316.0,305.0,316.0,4979
2022-05-19,316.0,316.0,305.0,306.0,8155
2022-05-20,310.0,312.0,306.0,307.0,2094
2022-05-23,302.0,303.1,301.1,301.5,4358
2022-05-24,300.0,309.0,300.0,306.0,2294
2022-05-25,310.0,310.9,308.0,308.0,925
2022-05-26,305.0,308.0,304.0,308.0,470
2022-05-27,305.0,305.0,299.0,304.5,4654
2022-05-30,299.0,304.0,294.0,300.0,1060
2022-05-31,295.0,295.0,286.0,294.0,5890
2022-06-01,290.0,296.0,287.5,296.0,1170
2022-06-02,299.0,299.0,291.0,291.0,2294
2022-06-03,290.0,294.0,284.3,285.3,5110
2022-06-06,286.0,286.9,281.0,286.0,2625
2022-06-07,285.0,285.0,276.7,280.0,5145
2022-06-08,283.0,296.0,281.0,295.9,4803
2022-06-09,300.0,300.0,285.1,285.3,3890
2022-06-10,280.1,285.0,280.1,281.1,3046
2022-06-13,284.0,284.0,275.6,277.0,560
2022-06-14,278.0,278.0,265.0,265.0,3921
2022-06-15,261.1,261.1,251.2,252.0,10593
2022-06-16,250.0,267.2,242.2,256.0,5708
2022-06-17,255.0,255.0,254.0,254.0,375
2022-06-19,259.0,259.0,244.1,248.0,1855
2022-06-20,243.2,243.2,235.0,238.0,9348
2022-06-21,242.0,258.0,242.0,247.0,7189
2022-06-22,243.0,243.0,233.8,233.8,2966
2022-06-23,238.0,238.0,220.6,237.7,5798
2022-06-24,242.0,242.0,227.9,235.0,4260
2022-06-26,239.7,253.0,236.0,253.0,9301
2022-06-27,253.0,253.0,236.0,242.0,8499
2022-06-28,237.3,239.0,234.3,239.0,1033
2022-06-29,240.0,248.3,240.0,248.0,5416
2022-06-30,243.2,267.0,243.2,264.0,22062
2022-07-01,269.0,269.0,255.0,257.0,6115
2022-07-03,262.0,272.0,254.0,269.5,7957
2022-07-04,274.0,296.4,269.0,280.0,58963
2022-07-05,275.0,299.0,272.0,274.0,34504
2022-07-06,274.0,289.1,265.0,284.0,13507
