timestamp,open,high,low,close,volume
2022-04-24,714.16,737.58,706.92,720.41,7506
2022-04-25,734.51,734.51,714.89,714.89,2538
2022-04-26,728.38,757.32,714.28,731.26,3972
2022-04-27,726.54,730.84,709.38,709.99,3472
2022-04-28,709.99,724.03,708.15,708.21,3124
2022-05-02,698.95,705.08,692.82,693.44,8601
2022-05-04,705.08,705.08,684.85,696.5,1923
2022-05-05,694.66,696.5,683.63,687.92,2224
2022-05-08,686.69,687.3,674.43,687.3,3415
2022-05-09,698.95,701.41,685.46,694.66,3599
2022-05-10,705.08,707.54,693.44,698.95,3731
2022-05-11,712.44,722.8,708.15,716.12,4577
2022-05-12,716.18,729.36,705.08,709.38,3192
2022-05-17,720.41,720.41,690.37,692.82,2004
2022-05-18,680.56,701.96,680.56,697.73,1808
2022-05-19,697.73,710.54,688.53,688.53,3266
2022-05-20,688.53,692.82,680.87,688.53,2042
2022-05-23,695.89,695.89,677.56,695.89,23481
2022-05-24,692.82,698.95,684.85,692.82,14531
2022-05-25,692.82,694.66,681.17,692.82,2727
2022-05-26,692.82,701.83,687.3,701.83,2882
2022-05-27,692.82,696.5,689.76,691.66,3933
2022-05-30,705.08,719.19,681.85,686.08,2703
2022-05-31,681.79,681.79,659.1,668.3,7808
2022-06-01,667.68,670.14,654.99,658.49,3540
2022-06-02,658.49,665.23,651.74,652.36,3018
2022-06-03,652.36,652.97,627.83,649.29,7908
2022-06-06,662.17,662.17,636.42,641.01,3366
2022-06-07,652.97,659.1,626.61,629.06,3267
2022-06-08,640.09,673.2,628.44,655.42,2402
2022-06-09,655.42,714.16,642.55,649.9,5088
2022-06-10,637.64,657.51,637.64,657.26,890
2022-06-13,644.39,665.23,644.39,658.49,2270
2022-06-14,645.61,646.84,641.99,645.61,2341
2022-06-15,646.84,646.84,613.73,628.44,6528
2022-06-16,628.44,653.83,624.89,643.77,3194
2022-06-17,632.12,643.16,631.51,643.16,681
2022-06-19,637.64,638.25,623.54,637.64,2660
2022-06-20,625.38,625.38,608.21,619.74,5636
2022-06-21,625.38,640.09,616.18,631.45,5763
2022-06-22,628.44,628.44,611.28,612.5,5608
2022-06-23,611.89,611.89,600.85,603.92,3942
2022-06-24,592.33,616.18,591.66,613.12,4519
2022-06-26,625.38,637.89,622.31,637.64,11256
2022-06-27,637.64,643.77,612.87,625.32,8472
2022-06-28,625.32,629.06,613.12,613.12,6047
2022-06-29,625.38,635.8,625.38,634.58,6144
2022-06-30,646.84,671.36,633.96,663.39,6956
2022-07-01,664.01,674.43,649.9,668.91,4538
2022-07-03,659.1,695.89,659.1,695.89,8206
2022-07-04,698.95,709.38,674.43,681.79,15651
2022-07-05,668.17,694.66,655.42,656.04,19712
2022-07-06,667.68,668.3,640.71,654.5,5949
2022-07-07,667.56,673.82,647.27,651.74,4166
2022-07-08,664.68,664.68,642.55,649.9,3090
2022-07-11,637.03,637.03,615.88,626.61,7292
2022-07-12,631.51,636.42,619.25,623.54,5741
2022-07-13,619.86,632.68,619.86,632.68,7455
2022-07-14,643.77,657.87,634.58,641.93,9146
2022-07-15,649.29,652.97,638.87,652.97,5438
2022-07-17,640.71,657.87,637.64,649.29,13001
2022-07-18,651.74,662.17,643.77,662.17,5750
2022-07-19,662.17,684.85,661.55,680.56,10640
2022-07-20,689.14,694.05,668.3,687.3,6254
2022-07-21,684.24,692.82,674.49,686.69,7096
2022-07-22,674.43,680.56,661.55,674.43,7415
2022-07-24,686.69,702.02,674.49,702.02,10305
2022-07-25,715.51,728.69,702.02,723.48,15952
2022-07-26,711.22,722.86,679.46,703.86,13967
2022-07-27,690.37,713.67,688.53,710.6,7140
2022-07-28,720.41,730.84,709.81,709.81,20514
2022-07-29,711.22,717.35,700.79,717.35,5111
2022-07-31,731.45,731.45,700.18,722.86,17875
2022-08-01,723.48,726.54,711.22,718.57,9019
2022-08-02,705.15,720.41,705.15,712.44,3831
2022-08-03,726.54,726.54,708.15,708.15,7310
2022-08-04,699.57,708.15,689.76,694.05,9184
2022-08-05,694.05,694.05,667.07,683.63,7363
2022-08-07,687.3,706.25,680.56,689.76,10473
2022-08-08,703.25,705.08,684.85,686.69,9359
2022-08-09,698.95,698.95,665.29,665.85,6195
2022-08-10,660.39,683.01,660.33,670.75,8743
2022-08-11,684.12,684.12,663.39,663.39,13741
2022-08-14,668.3,668.91,656.04,656.04,7525
2022-08-15,669.16,671.36,648.74,671.36,11005
2022-08-16,680.56,684.24,668.3,668.3,8137
2022-08-17,668.3,674.43,665.85,670.75,2743
2022-08-18,668.42,683.63,668.3,682.34,5046
2022-08-21,692.82,692.82,678.72,680.56,7674
2022-08-22,683.63,686.38,672.65,682.4,6863
2022-08-23,683.63,683.63,669.52,674.43,6183
2022-08-24,687.3,687.86,675.65,681.17,5053
2022-08-25,681.17,686.69,673.26,673.82,9268
2022-08-26,673.82,673.82,660.94,671.36,3310
2022-08-28,665.23,666.76,656.04,659.71,5807
2022-08-29,656.04,662.17,653.71,654.2,3605
2022-08-30,656.65,688.9,656.65,667.07,1685
2022-08-31,657.26,660.94,649.9,649.9,5368
2022-09-01,652.97,656.04,643.77,655.42,2226
2022-09-02,667.07,667.07,649.29,655.42,1476
2022-09-04,654.87,665.23,648.06,654.26,2385
2022-09-05,654.2,662.17,654.2,660.94,2638
2022-09-06,660.94,660.94,649.97,652.97,3508
2022-09-07,643.83,651.68,643.83,646.84,2866
2022-09-08,643.77,646.84,637.64,638.99,8005
2022-09-11,638.99,649.9,632.92,636.42,1831
2022-09-12,636.42,643.71,627.89,627.89,5002
2022-09-13,640.34,640.34,630.28,632.74,2039
2022-09-14,645.0,651.74,640.09,649.9,4494
2022-09-15,643.77,656.65,630.9,630.96,3995
2022-09-16,625.38,632.74,614.96,624.15,5468
2022-11-24,636.6,675.47,636.6,654.2,9976
2022-11-27,662.11,675.04,648.92,669.52,6693
2022-11-28,674.43,686.69,671.36,674.43,7338
2022-11-29,662.78,686.08,656.04,680.56,2194
2022-11-30,680.56,689.76,666.95,684.85,2818
2022-12-01,698.34,698.34,674.43,684.85,5998
2022-12-04,692.82,698.34,686.08,695.27,7521
2022-12-05,692.82,695.27,678.11,683.63,4631
2022-12-06,697.3,711.22,686.69,691.17,22080
2022-12-07,704.96,704.96,690.98,694.05,10494
2022-12-11,694.05,694.66,677.49,680.56,8478
2022-12-12,681.17,686.69,674.43,683.63,9698
2022-12-13,695.27,695.27,679.33,683.63,2916
2022-12-14,683.63,686.08,674.43,679.95,4038
2022-12-15,676.27,685.46,675.04,679.95,6504
2022-12-18,686.69,686.69,669.83,674.43,4531
2022-12-19,674.43,681.17,671.36,677.49,3425
2022-12-20,689.14,689.76,680.56,681.79,3231
2022-12-21,681.17,692.82,680.56,683.93,1869
2022-12-22,683.93,687.86,681.17,683.63,3728
2022-12-26,689.76,701.41,683.63,701.41,13054
2022-12-27,714.89,722.56,707.54,708.15,10621
2022-12-28,702.02,713.06,698.95,700.79,5070
2022-12-29,699.57,714.89,698.95,714.89,16844
2023-01-01,729.0,739.42,715.51,717.35,18822
2023-01-02,717.35,735.74,717.35,732.67,12138
2023-01-03,738.19,746.78,723.48,735.74,15864
2023-01-04,735.74,772.53,730.22,772.53,18751
2023-01-05,772.53,803.18,772.53,784.79,27045
2023-01-08,800.12,800.12,769.46,784.79,19529
2023-01-09,796.44,796.44,781.72,790.31,16942
2023-01-10,793.99,812.38,774.55,775.59,21692
2023-01-12,772.53,793.99,771.91,774.37,23670
