timestamp,open,high,low,close,volume
2013-06-19,53.68,29.49,29.49,29.49,50
2013-06-20,29.49,29.83,29.56,29.83,314
2013-06-23,29.83,30.2,29.9,30.2,1886
2013-06-24,30.2,30.61,30.27,30.61,1552
2013-06-25,30.61,31.07,30.38,30.84,2375
2013-06-26,30.84,31.07,31.07,31.07,10
2013-06-27,31.07,30.98,30.57,30.57,1314
2013-06-30,30.57,30.48,30.15,30.15,438
2013-07-01,30.15,30.15,30.09,30.11,275
2013-07-02,30.11,30.32,30.18,30.22,212
2013-07-03,30.22,30.25,30.11,30.25,195
2013-07-04,30.25,30.25,30.18,30.25,356
2013-07-07,30.25,30.66,30.32,30.66,477
2013-07-08,30.66,30.75,30.57,30.66,247
2013-07-09,30.66,30.84,30.71,30.84,441
2013-07-10,30.84,30.91,30.8,30.84,505
2013-07-11,30.84,31.33,30.75,31.33,887
2013-07-14,31.33,31.4,31.3,31.3,404
2013-07-15,31.3,31.58,31.3,31.46,386
2013-07-16,31.46,31.65,31.37,31.65,666
2013-07-17,31.65,32.13,31.69,32.13,1245
2013-07-21,32.13,32.41,31.72,32.41,188
2013-07-22,32.41,32.52,32.18,32.52,743
2013-07-23,32.52,32.87,32.52,32.87,192
2013-07-24,32.87,32.73,32.64,32.64,118
2013-07-25,32.64,32.87,32.64,32.75,584
2013-07-28,32.75,32.87,32.75,32.77,90
2013-07-29,32.77,33.0,32.82,32.96,1607
2013-07-30,32.96,33.1,32.82,32.98,950
2013-07-31,32.98,33.03,33.03,33.03,18
2013-08-01,33.03,33.1,32.96,32.96,108
2013-08-04,32.96,32.98,32.89,32.89,106
2013-08-05,32.89,33.03,32.89,32.89,170
2013-08-06,32.89,32.87,32.75,32.87,530
2013-08-07,32.87,32.87,32.82,32.82,30
2013-08-08,32.82,32.93,32.87,32.93,277
2013-08-11,32.93,32.82,32.82,32.82,48
2013-08-12,32.82,33.07,32.77,32.77,476
2013-08-13,32.77,33.1,32.87,32.98,236
2013-08-14,32.98,33.16,32.89,33.16,554
2013-08-15,33.16,33.88,33.05,33.88,319
2013-08-18,33.88,34.66,33.92,34.38,932
2013-08-19,34.38,34.75,34.43,34.43,331
2013-08-20,34.43,34.61,34.13,34.24,1589
2013-08-25,34.24,34.13,34.08,34.13,212
2013-08-26,34.13,34.24,34.13,34.24,54
2013-08-27,34.24,34.45,34.29,34.29,863
2013-09-01,34.29,34.13,33.97,33.97,56
2013-09-03,33.97,34.18,34.01,34.18,475
2013-09-10,34.18,34.18,34.01,34.18,60
2013-09-11,34.18,34.18,34.01,34.18,40
2013-09-12,34.18,34.01,33.85,33.85,79
2013-09-15,33.85,33.72,33.16,33.37,776
2013-09-16,33.37,33.23,33.23,33.23,75
2013-09-17,33.23,33.23,33.1,33.21,171
2013-09-19,33.21,33.35,33.21,33.21,456
2013-09-22,33.21,33.07,33.07,33.07,44
2013-09-23,33.07,33.21,33.1,33.21,20
2013-09-25,33.21,33.23,33.1,33.23,53
2013-09-26,33.23,33.26,33.12,33.26,63
2013-09-30,33.26,33.12,33.12,33.12,89
2013-10-01,33.12,32.98,32.98,32.98,10
2013-10-03,32.98,32.98,32.98,32.98,10
2013-10-09,32.98,33.67,33.12,33.67,80
2013-10-10,33.67,33.95,33.81,33.9,248
2013-10-17,33.9,33.76,33.62,33.62,60
2013-10-21,33.62,33.9,33.76,33.9,52
2013-10-22,33.9,34.18,34.01,34.18,325
2013-10-23,34.18,34.5,34.27,34.36,556
2013-10-24,34.36,34.52,34.52,34.52,64
2013-10-28,34.52,34.52,34.2,34.2,188
2013-10-29,34.2,34.15,34.08,34.15,62
2013-10-30,34.15,34.01,33.9,33.9,126
2013-10-31,33.9,34.04,33.9,33.9,100
2013-11-07,33.9,34.36,34.04,34.2,85
2013-11-10,34.2,34.52,34.36,34.36,108
2013-11-11,34.36,34.84,34.36,34.84,353
2013-11-12,34.84,35.53,35.0,35.53,268
2013-11-13,35.53,35.51,35.39,35.39,162
2013-11-14,35.39,36.29,35.39,36.29,2105
2013-11-21,36.29,36.68,36.47,36.68,20
2013-11-24,36.68,37.09,36.89,37.09,20
2013-11-26,37.09,37.51,37.3,37.51,68
2013-11-28,37.51,37.74,37.74,37.74,49
2013-12-01,37.74,38.2,37.74,38.2,290
2013-12-02,38.2,39.16,38.2,39.16,51
2013-12-03,39.16,40.19,39.41,40.19,50
2013-12-04,40.19,41.3,40.45,41.3,324
2013-12-05,41.3,42.19,41.6,42.19,30
2013-12-09,42.19,42.84,41.87,42.84,886
2013-12-10,42.84,44.17,43.16,44.17,151
2013-12-11,44.17,44.35,44.31,44.31,62
2013-12-12,44.31,43.96,43.62,43.62,244
2013-12-15,43.62,43.66,43.32,43.66,64
2014-01-12,43.66,44.01,44.01,44.01,19
2014-01-13,44.01,44.01,44.01,44.01,13
2014-01-14,44.01,44.72,44.01,44.72,114
2014-01-16,44.72,45.09,44.72,44.74,299
2014-01-21,44.74,46.6,45.11,46.6,500
2014-01-22,46.6,46.21,45.82,45.82,20
2014-01-23,45.82,45.43,45.43,45.43,10
2014-01-28,45.43,45.18,44.7,44.7,629
2014-01-29,44.7,44.35,43.64,43.78,273
2014-02-02,43.78,44.12,44.1,44.12,20
2014-02-03,44.12,45.94,44.47,45.94,60
2014-02-04,45.94,46.33,45.55,46.08,360
2014-02-05,46.08,46.86,46.08,46.65,178
2014-02-06,46.65,46.65,46.24,46.24,130
2014-02-09,46.24,46.24,45.85,46.24,23
2014-02-10,46.24,47.43,46.63,47.43,106
2014-02-11,47.43,49.13,47.85,48.7,313
2014-02-12,48.7,49.41,48.95,49.41,263
2014-02-13,49.41,51.29,49.87,51.25,105
2014-02-16,51.25,51.71,51.13,51.13,396
2014-02-17,51.13,52.62,51.61,52.62,149
2014-02-18,52.62,53.15,53.15,53.15,59
2014-02-20,53.15,54.23,53.68,54.23,30
2014-02-23,54.23,54.78,54.23,54.78,80
2014-02-24,54.78,54.23,53.77,53.77,80
2014-02-25,53.77,53.89,53.89,53.89,30
2014-02-26,53.89,53.77,53.77,53.77,100
2014-03-03,53.77,53.22,52.56,52.56,154
2014-03-04,52.56,52.03,49.91,49.91,192
2014-03-05,49.91,49.45,48.95,48.97,205
2014-03-06,48.97,49.06,48.6,49.06,395
2014-03-09,49.06,49.87,48.95,49.87,230
2014-03-10,49.87,50.33,49.87,49.89,402
2014-03-11,49.89,49.89,48.97,49.43,331
2014-03-12,49.43,50.33,49.52,50.33,132
2014-03-13,50.33,50.79,50.33,50.33,292
2014-03-17,50.33,49.84,48.49,48.49,115
2014-03-18,48.49,48.95,48.6,48.6,102
2014-03-19,48.6,49.96,48.95,49.5,181
2014-03-20,49.5,49.06,48.95,49.06,182
2014-03-23,49.06,48.6,48.17,48.37,120
2014-03-24,48.37,48.93,48.37,48.93,107
2014-03-26,48.93,48.6,48.6,48.6,20
2014-03-31,48.6,49.5,49.02,49.5,78
2014-04-01,49.5,51.84,49.96,51.84,264
2014-04-02,51.84,54.42,52.35,54.42,800
2014-04-03,54.42,54.81,54.81,54.81,10
2014-04-10,54.81,54.78,54.23,54.78,151
2014-04-16,54.78,54.81,54.21,54.81,70
2014-04-20,54.81,54.46,53.54,53.54,167
2014-04-22,53.54,52.99,52.46,52.46,142
2014-04-23,52.46,54.28,51.71,54.28,610
2014-04-28,54.28,53.73,53.18,53.7,40
2014-04-29,53.7,53.52,53.15,53.52,34
2014-04-30,53.52,53.08,52.46,52.99,271
2014-05-04,52.99,54.6,52.99,54.6,236
2014-05-05,54.6,56.3,55.15,56.3,52
2014-05-06,56.3,56.76,54.46,54.46,717
2014-05-07,54.46,54.0,53.54,54.0,569
2014-05-08,54.0,53.45,53.45,53.45,20
2014-05-11,53.45,52.92,52.92,52.92,150
2014-05-12,52.92,53.98,53.45,53.89,126
2014-05-13,53.89,53.89,52.81,52.81,122
2014-05-15,52.81,52.85,52.05,52.05,221
2014-05-18,52.05,52.62,52.56,52.62,166
2014-05-19,52.62,52.62,52.28,52.28,306
2014-05-20,52.28,53.84,52.28,53.84,564
2014-05-21,53.84,54.32,53.77,54.32,110
2014-05-22,54.32,54.23,53.68,53.68,570
2014-05-27,53.68,53.54,53.54,53.54,98
2014-05-28,53.54,54.09,53.77,53.77,123
2014-06-01,53.77,53.77,53.31,53.43,31
2014-06-02,53.43,53.77,53.77,53.77,160
2014-06-03,53.77,54.32,54.0,54.32,286
2014-06-04,54.32,53.77,53.77,53.77,540
2014-06-05,53.77,53.22,52.69,52.69,31
2014-06-08,52.69,52.16,52.16,52.16,10
2014-06-09,52.16,52.67,51.66,52.67,99
2014-06-16,52.67,53.08,52.62,53.08,200
2014-06-17,53.08,53.61,53.61,53.61,10
2014-06-23,53.61,53.61,53.61,53.61,44
2014-06-24,53.61,54.32,53.77,54.03,214
2014-06-25,54.03,54.58,54.23,54.23,476
2014-06-29,54.23,54.78,54.26,54.78,41
2014-06-30,54.78,56.3,55.15,56.3,160
2014-07-01,56.3,57.7,56.53,57.68,784
2014-07-02,57.68,58.28,57.91,57.91,86
2014-07-06,57.91,58.14,58.14,58.14,100
2014-07-07,58.14,57.56,57.56,57.56,50
2014-07-09,57.56,58.37,58.14,58.14,597
2014-07-10,58.14,58.78,58.16,58.16,150
2014-07-14,58.16,59.17,58.16,58.16,150
2014-07-15,58.16,58.16,58.16,58.16,254
2014-07-16,58.16,58.8,58.8,58.8,70
2014-07-17,58.8,62.07,59.45,62.07,109
2014-07-20,62.07,65.67,62.78,65.67,200
2014-07-21,65.67,68.06,66.29,68.06,333
2014-07-23,68.06,67.79,65.49,65.49,132
2014-07-24,65.49,66.23,64.71,66.23,98
2014-07-27,66.23,66.18,65.95,66.18,338
2014-07-30,66.18,66.18,66.06,66.16,124
2014-07-31,66.16,67.1,65.6,65.6,65
2014-08-03,65.6,66.18,66.18,66.18,18
2014-08-04,66.18,66.64,65.83,65.83,50
2014-08-05,65.83,65.72,65.72,65.72,10
2014-08-06,65.72,66.18,66.18,66.18,52
2014-08-07,66.18,66.98,65.95,66.87,453
2014-08-12,66.87,66.09,66.09,66.09,88
2014-08-14,66.09,66.87,66.18,66.87,28
2014-08-19,66.87,66.18,66.18,66.18,10
2014-08-21,66.18,65.38,65.38,65.38,108
2014-08-24,65.38,65.49,64.8,64.8,345
2014-08-27,64.8,65.38,65.38,65.38,40
2014-08-28,65.38,66.16,65.38,65.38,37
2014-08-31,65.38,65.03,63.65,63.65,232
2014-09-01,63.65,63.88,63.88,63.88,200
2014-09-03,63.88,63.12,62.39,62.39,127
2014-09-04,62.39,61.68,59.61,59.86,831
2014-09-07,59.86,59.84,59.19,59.84,448
2014-09-09,59.84,62.48,59.17,62.48,668
2014-09-10,62.48,66.11,63.19,66.11,80
2014-09-11,66.11,70.11,66.89,70.11,2269
2014-09-15,74.52,79.05,75.02,76.98,1629
2014-09-16,76.98,78.93,76.98,77.44,1913
2014-09-17,77.44,77.67,76.52,76.52,356
2014-09-21,76.52,76.17,76.17,76.17,100
2014-09-22,76.17,76.52,76.17,76.2,202
2014-09-24,76.2,75.21,74.24,74.24,120
2014-09-28,74.24,74.24,74.22,74.24,22
2014-09-29,74.24,74.24,74.24,74.24,154
2014-10-08,74.24,74.68,74.68,74.68,10
2014-10-09,74.68,74.68,74.68,74.68,195
2014-10-12,74.68,74.22,72.38,73.3,120
2014-10-13,73.3,72.73,71.92,71.92,171
2014-10-15,71.92,72.84,72.38,72.84,275
2014-10-16,72.84,72.73,72.73,72.73,10
2014-10-20,72.73,77.39,73.65,77.39,1334
2014-10-21,77.39,80.54,77.39,80.42,1440
2014-10-22,80.41,80.41,80.41,80.41,44
2014-10-27,80.41,81.49,81.49,81.49,40
2014-11-02,81.49,81.73,81.73,81.73,30
2014-11-03,81.73,81.61,81.61,81.61,50
2014-11-12,81.61,81.61,81.61,81.61,14
2014-11-13,81.61,81.87,81.87,81.58,143
2014-11-17,81.58,82.69,82.69,82.69,10
2014-11-18,82.69,81.58,81.58,81.58,24
2014-11-24,81.58,81.29,81.29,81.29,30
2014-12-09,81.29,80.21,80.21,79.12,298
2014-12-16,79.12,80.18,80.18,80.18,13
2014-12-17,80.18,82.34,82.34,82.34,20
2014-12-18,82.34,83.05,83.05,83.05,90
2014-12-21,83.05,83.05,83.05,81.9,368
2014-12-24,81.9,82.31,82.31,82.31,110
2014-12-28,82.31,82.61,82.61,82.17,330
2014-12-29,82.17,82.17,82.17,82.17,413
2015-01-04,82.17,86.73,86.73,85.83,269
2015-01-05,85.83,88.31,88.31,88.31,257
2015-01-07,88.31,90.36,90.36,90.36,20
2015-01-08,90.36,93.29,93.29,93.29,224
2015-01-11,93.29,96.16,96.16,96.13,338
2015-01-12,96.13,94.75,94.75,94.75,11
2015-01-13,94.75,94.75,94.75,94.75,62
2015-01-14,94.75,93.41,93.41,93.41,44
2015-01-18,93.41,96.13,96.13,95.92,208
2015-01-19,95.92,97.3,97.3,96.22,296
2015-01-20,96.22,97.39,97.39,97.39,164
2015-01-25,97.39,97.33,97.33,96.22,433
2015-01-26,96.22,95.04,95.04,95.04,90
2015-01-27,95.04,96.51,96.51,96.51,146
2015-01-28,96.51,95.1,95.1,95.1,104
2015-01-29,95.1,96.22,96.22,96.22,154
2015-02-01,96.22,95.92,95.92,95.92,25
2015-02-02,95.92,96.8,96.8,96.22,44
2015-02-04,96.22,94.99,94.99,94.99,47
2015-02-05,94.99,97.24,97.24,97.24,316
2015-02-08,97.24,96.36,96.36,96.22,243
2015-02-09,96.22,96.22,96.22,96.22,210
2015-02-10,96.22,97.59,97.59,96.22,717
2015-02-11,96.22,99.03,99.03,99.03,283
2015-02-12,99.03,101.78,101.78,100.31,695
2015-02-15,100.31,100.61,100.61,100.61,138
2015-02-16,100.61,101.78,101.78,101.78,233
2015-02-19,101.78,100.31,100.31,99.14,389
2015-02-23,99.14,100.46,100.46,100.02,105
2015-02-24,100.02,100.61,100.61,99.73,325
2015-02-25,99.73,100.31,100.31,100.31,38
2015-03-01,101.19,102.07,102.07,102.07,20
2015-03-03,102.07,103.24,103.24,103.18,188
2015-03-04,103.18,101.66,101.66,101.66,26
2015-03-09,101.66,102.65,102.65,102.65,306
2015-03-11,102.65,102.65,102.65,102.65,200
2015-03-12,102.65,103.24,103.24,103.24,70
2015-03-16,103.24,103.53,103.53,103.53,125
2015-03-17,103.53,104.12,104.12,102.57,29
2015-03-19,102.57,103.83,103.83,103.83,50
2015-03-22,103.83,104.47,104.47,104.47,72
2015-03-23,104.47,105.0,105.0,105.0,13
2015-03-24,105.0,107.34,107.34,107.34,262
2015-03-25,107.34,107.92,107.92,106.46,313
2015-03-26,106.46,107.92,107.92,107.6,64
2015-03-30,107.6,106.02,106.02,106.02,20
2015-03-31,106.02,104.44,104.44,104.41,96
2015-04-01,104.41,102.86,102.86,102.86,44
2015-04-05,102.86,101.48,101.48,101.48,37
2015-04-06,101.48,100.61,100.61,100.61,31
2015-04-07,100.61,99.14,99.14,99.14,68
2015-04-08,99.14,101.63,101.63,101.54,268
2015-04-16,101.54,100.61,100.61,100.61,118
2015-04-19,100.61,102.07,102.07,102.07,100
2015-05-31,102.07,100.55,100.55,100.55,10
2015-06-01,100.55,99.08,99.08,97.65,20
2015-06-02,97.65,96.24,96.24,90.51,203
2015-06-03,90.51,91.09,91.09,91.09,10
2015-06-10,91.09,97.59,97.59,97.59,50
2015-06-11,97.59,104.73,104.73,104.73,618
2015-06-14,104.76,112.9,112.9,112.9,186
