timestamp,open,high,low,close,volume
2019-01-21,347.8,347.8,347.8,347.8,1010
2019-01-27,347.8,354.68,347.8,354.68,10
2019-01-28,354.68,371.9,354.68,371.9,10
2019-01-29,371.9,390.5,371.9,390.5,10
2019-01-30,390.5,417.36,390.5,417.36,20
2019-01-31,417.36,446.28,417.36,446.28,20
2019-02-05,468.32,490.36,446.28,490.36,200
2019-02-06,514.46,539.26,490.36,539.26,620
2019-02-07,566.12,592.98,528.93,586.78,20090
2019-02-10,588.15,588.15,556.47,557.16,7266
2019-02-11,550.96,567.49,542.01,555.1,3340
2019-02-12,557.85,559.23,552.34,553.72,1391
2019-02-13,550.96,553.72,547.52,550.96,2310
2019-02-14,550.96,550.96,537.19,544.08,2470
2019-02-17,553.72,554.41,537.88,539.26,1760
2019-02-18,537.88,539.26,532.37,537.19,1460
2019-02-19,537.19,573.0,530.3,573.0,1000
2019-02-20,561.98,573.0,537.19,542.7,800
2019-02-21,539.94,544.77,534.44,535.81,1957
2019-02-24,526.17,541.32,522.73,541.32,3120
2019-02-25,550.28,550.28,529.61,539.94,890
2019-02-26,540.63,541.32,530.99,531.68,980
2019-02-27,531.68,549.59,526.86,533.75,1280
2019-03-03,526.86,535.81,526.86,530.99,520
2019-03-05,537.19,537.19,526.86,530.3,810
2019-03-06,539.94,539.94,521.35,528.93,2035
2019-03-07,537.19,539.26,524.1,535.12,810
2019-03-09,526.86,535.12,523.42,524.1,150
2019-03-10,526.86,535.12,523.42,524.1,150
2019-03-11,530.3,534.44,524.1,526.86,430
2019-03-12,523.42,530.3,521.35,525.48,1020
2019-03-13,526.86,528.24,519.97,522.04,480
2019-03-14,522.04,526.86,517.22,526.17,1134
2019-03-17,533.75,533.75,513.09,516.53,1115
2019-03-18,509.64,519.28,509.64,510.33,1755
2019-03-19,510.33,510.33,500.69,503.44,720
2019-03-21,497.93,503.44,493.11,493.8,640
2019-03-24,493.8,509.64,482.09,509.64,1560
2019-03-26,484.16,488.98,478.65,483.47,820
2019-03-28,482.09,487.6,481.4,482.09,1020
2019-03-31,482.09,482.09,468.32,469.7,590
2019-04-01,469.7,478.65,466.25,471.76,550
2019-04-02,464.88,482.09,464.88,471.76,220
2019-04-03,473.14,478.65,465.56,468.32,320
2019-04-04,468.32,468.32,461.43,461.43,1273
2019-04-07,470.39,479.34,438.02,438.02,170
2019-04-09,448.35,457.99,446.28,446.28,550
2019-04-10,440.08,454.55,440.08,454.55,190
2019-04-11,454.55,461.43,446.28,447.66,580
2019-04-15,438.71,452.48,438.71,439.39,460
2019-04-16,447.66,470.39,427.69,465.56,970
2019-04-18,453.86,453.86,440.08,451.1,910
2019-04-21,444.9,447.66,438.71,447.66,160
2019-04-22,447.66,463.5,447.66,448.35,190
2019-04-23,444.9,447.66,437.33,440.77,750
2019-04-24,432.51,471.07,432.51,471.07,140
2019-04-25,477.27,477.27,477.27,477.27,10
2019-04-28,477.27,477.27,440.77,466.25,1470
2019-04-29,464.88,464.88,440.77,454.55,430
2019-04-30,460.06,460.06,437.33,442.84,200
2019-05-02,434.57,444.9,433.88,435.95,300
2019-05-05,433.88,440.08,430.44,432.51,750
2019-05-06,432.51,433.88,424.93,427.0,220
2019-05-07,420.11,429.75,418.73,418.73,870
2019-05-08,410.47,423.55,410.47,417.36,400
2019-05-09,420.11,431.82,410.47,413.22,900
2019-05-12,413.22,420.8,405.65,406.34,1462
2019-05-13,413.91,422.18,413.22,420.11,380
2019-05-14,421.49,421.49,393.25,407.71,1430
2019-05-15,403.58,407.71,396.01,396.01,660
2019-05-16,391.87,398.07,389.81,396.01,270
2019-05-19,399.45,405.65,392.56,392.56,420
2019-05-20,392.56,392.56,375.34,376.72,920
2019-05-21,378.79,400.14,378.79,400.14,810
2019-05-22,392.56,392.56,385.67,392.56,310
2019-05-23,385.67,391.87,385.67,387.05,1190
2019-05-26,380.85,388.43,380.85,385.67,420
2019-05-27,380.17,396.69,380.17,390.5,744
2019-05-28,392.56,405.65,388.43,405.65,570
2019-05-29,406.34,424.93,406.34,424.93,1370
2019-05-30,433.2,433.2,409.78,413.91,1210
2019-06-02,407.02,409.78,406.34,407.02,400
2019-06-03,399.45,402.2,398.07,399.45,1000
2019-06-04,391.87,392.56,389.81,392.56,130
2019-06-06,384.99,392.56,378.79,392.56,1005
2019-06-10,542.7,544.08,542.7,544.08,241
2019-06-11,389.12,389.12,382.92,389.12,460
2019-06-12,382.92,385.67,382.92,384.99,220
2019-06-13,378.79,378.79,373.28,377.41,193
2019-06-16,378.79,386.36,358.82,365.7,530
2019-06-17,360.19,368.46,359.5,360.19,515
2019-06-18,360.19,360.88,353.99,353.99,530
2019-06-19,352.62,353.31,344.35,344.35,460
2019-06-20,340.91,361.57,340.91,360.19,180
2019-06-23,354.68,361.57,354.68,356.75,170
