timestamp,open,high,low,close,volume
2023-03-05,271.2,298.32,271.2,298.32,6650
2023-03-07,304.22,328.07,304.22,328.07,14850
2023-03-09,334.6,354.65,322.0,345.58,68817
2023-03-12,345.58,346.49,329.34,330.34,63702
2023-03-13,330.16,330.16,312.93,321.09,29842
2023-03-14,316.55,353.2,316.55,351.02,45140
2023-03-15,344.04,352.02,340.77,351.2,33952
2023-03-16,344.22,368.98,344.22,363.72,46216
2023-03-19,365.53,368.71,352.83,361.9,31720
2023-03-20,358.28,367.53,355.65,363.72,26018
2023-03-22,370.98,385.85,365.53,365.62,39330
2023-03-23,372.79,372.79,354.65,355.1,25112
2023-03-26,362.18,362.81,348.3,353.74,22001
2023-03-27,360.09,360.09,341.95,355.74,17065
2023-03-28,362.81,365.53,351.11,355.56,26098
2023-03-29,361.9,361.9,347.66,358.1,28707
2023-03-30,358.19,361.0,351.29,358.28,16967
2023-04-02,358.28,358.28,344.58,349.21,20541
2023-04-03,342.22,347.39,335.6,339.32,15636
2023-04-04,332.88,361.0,332.88,344.67,14200
2023-04-05,340.14,347.39,335.78,344.67,12324
2023-04-06,338.05,347.39,338.05,344.67,7990
2023-04-09,337.87,339.23,333.15,337.41,8500
2023-04-10,331.07,339.23,331.07,339.23,9000
2023-04-11,333.79,352.83,333.79,346.03,5901
2023-04-12,344.67,369.16,342.86,361.9,18844
2023-04-13,354.83,380.95,349.3,353.74,23436
2023-04-16,347.39,361.9,340.5,349.3,7015
2023-04-17,342.4,349.21,341.13,346.49,8880
2023-04-18,340.14,350.93,340.14,350.93,6982
2023-04-19,343.95,379.14,338.32,362.72,6363
2023-04-20,358.28,370.07,353.74,358.28,19178
2023-04-23,364.63,372.7,347.66,349.57,6750
2023-04-24,344.67,355.56,344.67,350.11,5580
2023-04-25,343.13,360.09,343.13,353.83,8116
2023-04-26,347.94,361.09,347.57,347.57,7257
2023-04-27,345.58,361.81,345.58,361.81,13885
2023-04-30,354.65,360.54,350.75,354.56,5170
2023-05-02,347.85,350.11,344.67,349.21,4990
2023-05-03,349.21,349.21,338.59,345.58,6413
2023-05-04,338.68,353.74,338.32,353.74,6909
2023-05-07,347.39,353.74,341.95,346.49,3090
2023-05-08,340.23,349.21,340.23,347.3,9604
2023-05-09,340.59,366.35,340.59,349.21,10698
2023-05-10,353.74,353.74,344.67,352.83,9321
2023-05-11,345.85,353.74,339.23,350.93,2010
2023-05-14,357.37,357.37,333.88,344.67,4027
2023-05-15,337.78,346.49,332.24,342.86,2990
2023-05-16,342.86,348.3,333.79,345.58,8090
2023-05-17,338.87,352.47,338.87,347.39,12538
2023-05-18,353.74,361.72,340.23,361.72,13750
2023-05-21,354.56,373.7,350.11,371.88,20687
2023-05-22,371.88,376.42,352.02,363.63,13701
2023-05-23,363.63,383.67,351.11,380.95,17798
2023-05-24,388.21,388.21,363.36,367.98,12552
2023-05-28,370.07,382.77,360.09,370.98,32173
2023-05-30,363.63,385.49,350.48,377.78,20239
2023-05-31,382.77,382.77,350.39,356.46,21835
2023-06-01,349.48,362.63,345.58,358.28,17637
2023-06-04,362.81,384.58,356.46,376.42,22813
2023-06-05,380.95,380.95,370.16,375.51,29996
2023-06-06,368.07,392.2,364.17,392.2,27546
2023-06-07,392.74,419.05,385.85,402.72,24563
2023-06-08,407.26,419.95,387.39,411.7,15135
2023-06-11,417.23,425.4,403.63,417.23,34598
2023-06-12,408.89,417.23,395.46,401.54,30141
2023-06-13,394.56,425.76,386.67,400.91,29174
2023-06-14,394.56,418.14,394.56,403.63,45410
2023-06-15,408.16,418.05,400.0,417.23,36005
2023-06-18,417.23,458.96,408.98,458.96,28766
2023-06-19,449.8,449.8,423.4,438.1,20197
2023-06-20,444.44,444.44,412.7,419.95,17933
