timestamp,open,high,low,close,volume
2026-06-26,307.6,343.5,307.6,343.5,70
2026-06-29,353.8,395.0,353.8,395.0,60
2026-06-30,424.2,454.2,424.2,454.2,90
2026-07-01,467.8,522.3,467.8,522.3,130
2026-07-02,537.9,600.6,537.9,600.6,180
2026-07-03,618.6,690.6,618.6,690.6,920
2026-07-06,746.8,794.1,746.8,794.1,12640
2026-07-07,820.0,820.0,700.0,753.4,81130
2026-07-08,750.0,810.0,727.4,786.5,31280
2026-07-09,770.0,904.4,770.0,879.0,29352
2026-07-10,854.6,854.6,810.0,820.0,38755
2026-07-13,810.0,815.0,777.0,780.0,28359
2026-07-14,770.0,794.9,745.0,769.0,26377
2026-07-15,769.0,790.0,763.0,771.0,12249
2026-07-16,771.0,784.9,769.0,779.0,16511
2026-07-17,779.1,815.0,779.1,803.0,25341
2026-07-20,810.0,835.0,792.1,830.0,26070
2026-07-21,830.0,903.0,807.0,880.0,45822
2026-07-22,860.0,884.9,840.1,875.0,24582
2026-07-23,851.0,1006.2,851.0,995.0,44496
2026-07-24,989.0,1017.1,970.0,979.0,41940
2026-07-27,965.0,1010.0,907.0,910.0,34165
2026-07-28,893.5,955.0,887.0,926.0,43061
2026-07-29,925.0,975.0,925.0,971.4,36032
2026-07-30,971.0,985.0,935.0,938.0,31452
2026-07-31,925.0,996.0,912.0,926.1,23492
2026-08-03,925.0,989.8,921.0,944.0,39699
2026-08-04,930.0,953.0,917.1,929.9,13212
2026-08-05,911.0,946.0,910.0,928.0,14428
2026-08-06,916.0,925.0,880.6,881.6,20417
2026-08-07,862.7,921.0,862.7,906.0,22802
2026-08-10,924.2,950.0,920.0,926.1,48245
2026-08-11,945.0,945.0,906.2,914.9,19214
2026-08-12,901.1,920.0,890.1,903.0,8916
2026-08-13,895.0,909.0,885.6,898.0,12482
2026-08-14,880.0,905.9,880.0,895.0,5560
2026-08-17,894.0,917.0,890.4,910.0,30927
2026-08-18,900.0,915.0,900.0,914.0,18187
2026-08-19,903.0,929.5,903.0,915.0,18899
2026-08-20,900.0,914.0,891.2,909.0,7387
2026-08-21,890.0,904.9,885.5,886.0,12290
2026-08-24,890.0,897.0,871.0,882.0,10345
2026-08-25,882.0,914.0,870.1,910.0,31859
2026-08-26,900.0,910.0,870.0,889.9,14233
2026-08-27,865.2,890.0,851.2,866.0,7877
2026-08-31,860.1,864.9,840.0,850.1,11040
