timestamp,open,high,low,close,volume
2017-05-16,168.72,175.66,168.72,175.66,40
2017-05-17,178.51,186.66,178.51,186.66,40
2017-05-18,186.66,201.7,194.18,201.7,45
2017-05-21,204.59,218.48,204.59,218.48,490
2017-05-22,221.95,236.99,221.95,236.99,3075
2017-05-23,241.04,257.24,228.31,228.89,60115
2017-05-24,228.89,227.16,216.16,223.69,20312
2017-05-28,220.21,220.21,215.01,216.16,8829
2017-05-30,218.48,220.79,202.28,206.33,24367
2017-05-31,206.33,212.69,200.54,212.69,14943
2017-06-01,209.22,212.11,203.44,205.75,5541
2017-06-04,206.33,206.33,198.81,205.17,4147
2017-06-05,206.91,208.06,199.96,201.7,6799
2017-06-06,201.12,204.59,195.34,202.28,18296
2017-06-07,199.96,201.7,194.18,198.81,18642
2017-06-08,195.34,198.23,190.71,195.91,7726
2017-06-11,199.39,199.39,188.97,190.71,3025
2017-06-12,189.55,193.6,186.08,189.55,3103
2017-06-13,187.81,190.71,182.61,185.5,5396
2017-06-14,181.45,192.44,179.71,192.44,5417
2017-06-15,189.55,192.44,187.24,187.24,5306
2017-06-18,187.24,186.66,181.45,183.76,2859
2017-06-19,181.45,187.81,176.24,180.87,6232
2017-06-20,177.98,183.76,175.08,182.03,2615
2017-06-21,180.87,186.66,177.4,186.66,2045
2017-06-22,189.55,189.55,180.87,187.81,1747
2017-06-25,189.55,189.55,179.71,182.61,3245
2017-06-27,179.71,183.76,177.4,180.87,2025
2017-06-28,177.98,181.45,177.98,179.71,1953
2017-07-02,177.4,177.98,173.35,175.66,3408
2017-07-03,177.98,177.98,172.77,173.35,4484
2017-07-04,175.08,175.08,171.03,172.19,1526
2017-07-05,171.03,175.66,169.88,173.35,1250
2017-07-06,171.03,180.87,171.03,180.87,1462
2017-07-09,180.87,183.76,177.98,183.76,4474
2017-07-10,183.76,183.76,176.82,177.98,7216
2017-07-11,180.87,180.87,175.66,177.98,2555
2017-07-12,175.66,177.98,175.08,177.98,1985
2017-07-13,175.08,177.98,171.03,173.93,3924
2017-07-16,171.61,174.51,171.61,172.77,359
2017-07-17,175.08,182.03,171.03,181.45,3747
2017-07-18,179.14,190.71,172.77,190.71,2191
2017-07-20,187.81,187.81,176.82,180.29,7991
2017-07-23,177.4,177.4,173.93,175.66,1556
2017-07-24,175.08,177.98,173.35,176.82,5596
2017-07-25,176.24,175.08,168.14,172.19,8800
2017-07-26,173.35,179.14,172.19,172.19,2062
2017-07-27,169.88,174.51,168.72,172.19,1427
2017-07-30,169.88,176.24,167.56,173.93,3011
2017-07-31,171.61,171.61,166.98,169.3,767
2017-08-01,166.98,172.77,166.98,170.46,1307
2017-08-02,169.3,175.08,166.98,173.35,2560
2017-08-03,175.08,175.08,166.98,175.08,3579
2017-08-06,177.4,172.77,165.83,165.83,5604
2017-08-07,164.67,164.67,161.2,162.93,5932
2017-08-09,160.62,162.36,156.57,157.15,4429
2017-08-10,154.83,156.57,154.26,155.99,4095
2017-08-13,153.68,154.83,150.21,153.1,720
2017-08-15,153.1,153.1,148.47,149.05,4253
2017-08-16,148.47,151.36,148.47,150.78,5058
