timestamp,open,high,low,close,volume
2012-01-01,16.61,16.61,16.61,16.61,125
2012-01-02,16.61,17.19,16.33,17.19,345
2012-01-03,17.19,17.41,17.41,17.41,58
2012-01-08,17.41,17.19,17.19,17.19,302
2012-01-09,17.19,17.91,17.34,17.91,206
2012-01-10,17.91,17.91,17.34,17.34,502
2012-01-11,17.34,17.63,17.34,17.34,146
2012-01-12,17.34,17.48,16.61,17.48,3956
2012-01-16,17.48,17.55,17.26,17.55,1284
2012-01-17,17.55,17.26,16.98,16.98,4712
2012-01-18,16.98,16.69,16.69,16.69,2000
2012-01-22,16.69,16.4,16.04,16.04,5837
2012-01-23,16.04,15.75,15.75,15.75,3000
2012-01-26,15.75,16.47,16.04,16.47,376
2012-02-01,16.47,16.76,16.76,16.76,32
2012-02-02,16.76,17.05,17.05,17.05,10
2012-02-05,17.05,17.34,16.98,17.05,156
2012-02-06,17.05,17.34,16.54,16.54,2522
2012-02-07,16.54,17.19,16.25,17.19,881
2012-02-08,17.19,17.63,16.18,16.61,3581
2012-03-05,17.45,17.67,17.67,17.67,207
2012-03-15,17.67,16.31,15.02,15.09,220
2012-03-18,15.09,14.87,14.71,14.71,1449
2012-03-19,14.71,14.49,14.41,14.41,1332
2012-03-20,14.41,14.56,14.56,14.56,66
2012-03-21,14.56,14.79,14.64,14.79,119
2012-03-26,14.79,15.02,14.79,15.02,126
2012-03-28,15.02,15.25,15.25,15.25,100
2012-03-29,15.25,14.94,14.71,14.71,20
2012-04-12,14.71,16.16,14.94,16.16,668
2012-04-15,16.16,17.07,16.46,17.07,30
2012-04-17,17.07,17.37,17.37,17.37,215
2012-04-18,17.37,17.37,17.37,17.37,196
2012-04-19,17.37,17.82,17.67,17.82,200
2012-04-22,17.82,18.2,18.13,18.2,204
2012-04-25,18.2,18.51,18.51,18.51,10
2012-04-26,18.51,18.81,18.81,18.81,177
2012-04-29,18.81,19.11,18.81,18.81,180
2012-04-30,18.81,19.49,19.11,19.11,250
2012-05-03,19.11,19.49,19.49,19.49,100
2012-05-08,19.49,19.87,19.87,19.87,18
2012-05-09,19.87,19.87,19.87,19.87,323
2012-05-10,19.87,20.25,19.87,20.25,935
2012-05-14,20.25,19.87,19.19,19.19,180
2012-05-15,19.19,19.95,19.57,19.95,482
2012-05-17,19.95,20.71,20.33,20.71,60
2012-05-21,20.71,20.4,20.4,20.4,100
2012-05-22,20.4,20.4,20.02,20.1,500
2012-05-24,20.1,19.8,19.8,19.8,1020
2012-05-27,19.8,20.56,19.8,20.56,1230
2012-05-29,20.56,20.18,18.51,18.51,597
2012-05-30,18.51,18.2,17.6,17.6,664
2012-05-31,17.6,17.6,17.6,17.6,32
2012-06-04,17.6,17.6,17.6,17.6,171
2012-06-05,17.6,18.13,17.9,18.13,1192
2012-06-06,18.13,18.43,18.43,18.43,200
2012-06-07,18.43,18.43,18.43,18.43,461
2012-06-10,18.43,18.2,18.2,18.2,10
2012-06-13,18.2,18.81,18.51,18.81,112
