timestamp,open,high,low,close,volume
2023-07-17,381.67,395.68,367.51,395.68,2554
2023-07-18,400.43,434.35,400.43,434.35,7651
2023-07-19,442.83,476.9,442.83,462.24,375277
2023-07-20,471.15,471.15,454.33,455.05,95250
2023-07-23,457.92,470.14,451.6,468.71,110633
2023-07-24,471.58,471.58,458.0,463.17,86302
2023-07-25,467.27,467.27,458.79,459.51,53853
2023-07-26,459.51,463.39,454.33,454.33,27511
2023-07-27,460.08,460.08,448.94,449.3,36151
2023-07-30,456.49,456.49,434.21,441.39,50025
2023-07-31,441.39,448.94,436.36,441.39,28758
2023-08-01,445.71,445.71,426.3,429.54,28219
2023-08-02,437.8,437.8,420.55,431.33,27874
2023-08-03,425.65,430.25,425.58,428.46,17944
2023-08-06,421.99,428.31,411.21,414.8,15012
2023-08-07,414.08,421.99,406.18,417.68,19218
2023-08-08,417.68,421.99,409.77,414.59,17979
2023-08-09,406.89,425.58,406.89,425.58,29177
2023-08-10,427.02,443.55,420.55,437.87,53560
2023-08-13,435.64,450.02,432.77,446.43,45370
2023-08-14,455.05,455.05,442.18,444.92,41357
2023-08-15,444.92,446.78,432.77,434.21,34628
2023-08-16,432.05,434.21,425.58,429.03,40063
2023-08-17,436.36,438.52,431.33,431.48,22226
2023-08-20,434.21,434.93,422.92,422.92,20987
2023-08-21,425.58,429.18,418.39,420.55,53639
2023-08-22,428.46,428.46,415.52,427.67,94857
2023-08-23,436.0,445.71,429.18,442.83,48976
2023-08-24,447.14,447.14,428.46,437.08,43431
2023-08-27,439.96,439.96,424.14,425.58,42830
2023-08-28,431.33,431.33,423.43,423.43,25278
2023-08-29,431.33,439.74,420.55,425.58,20320
2023-08-30,427.74,431.98,423.79,425.58,33752
2023-09-03,425.58,425.58,415.66,417.68,25698
2023-09-04,424.07,424.07,411.21,418.32,22904
2023-09-05,421.2,421.27,413.36,413.44,12645
2023-09-07,408.84,416.24,407.69,408.4,16289
2023-09-10,409.05,416.17,406.97,411.93,11593
2023-09-11,412.0,428.46,412.0,425.58,25328
2023-09-12,423.43,424.14,414.8,418.32,21068
2023-09-13,418.32,432.77,415.59,430.61,26683
2023-09-17,422.35,425.58,414.8,415.52,29387
2023-09-18,415.52,425.58,413.36,417.17,6558
2023-09-19,417.17,425.58,414.87,424.0,7784
2023-09-21,427.74,437.8,427.74,430.83,38912
2023-09-24,430.83,435.64,422.42,428.46,27470
2023-09-25,436.29,436.29,416.96,423.07,7949
2023-09-26,431.33,432.05,424.14,429.25,22694
2023-09-27,425.58,429.18,417.68,421.99,15052
2023-10-01,413.79,417.68,411.21,414.08,12577
2023-10-02,411.42,416.24,409.05,414.8,12125
2023-10-03,411.93,414.01,407.69,409.05,10189
2023-10-04,407.61,416.24,407.61,414.01,7685
2023-10-05,414.01,414.8,408.4,409.05,10675
2023-10-08,401.86,408.33,400.43,402.58,12807
2023-10-09,402.58,402.58,396.4,396.83,8089
2023-10-10,404.02,404.02,379.58,380.3,16210
2023-10-11,373.11,394.68,365.93,381.09,8017
2023-10-12,378.15,388.5,375.63,378.15,12611
2023-10-16,371.68,385.33,371.68,376.71,8375
2023-10-17,384.04,389.65,371.75,372.47,6768
2023-10-18,377.14,383.9,376.71,379.58,3994
2023-10-19,379.58,385.98,374.98,377.43,2856
2023-10-29,370.24,370.24,360.9,364.13,10350
2023-10-30,364.13,370.96,364.13,368.8,4144
2023-10-31,368.8,372.18,363.12,363.12,1853
2023-11-01,364.56,366.65,360.18,360.39,5594
2023-11-02,360.18,360.9,356.15,357.3,3525
2023-11-05,353.71,357.66,349.47,353.71,5398
2023-11-06,353.71,365.86,346.88,365.57,6860
2023-11-07,372.4,372.4,360.9,367.94,7018
2023-11-08,375.06,375.06,361.61,361.61,2767
2023-11-09,368.08,368.08,359.46,360.9,3429
2023-11-20,361.61,375.27,361.61,375.27,16188
2023-11-21,378.86,378.86,361.9,362.33,6483
2023-11-22,368.08,381.02,361.33,381.02,9976
2023-11-23,375.27,395.32,366.72,385.4,7028
2023-11-26,386.05,407.61,384.61,407.47,18272
2023-11-27,411.93,411.93,400.07,401.86,23740
2023-11-28,402.58,407.61,397.05,405.46,11208
2023-11-29,403.3,403.3,391.08,391.08,8032
2023-11-30,391.08,394.68,386.12,386.77,5876
2023-12-03,382.46,389.57,376.71,389.57,7678
2023-12-04,393.24,396.83,385.55,389.65,6186
2023-12-05,389.65,412.64,389.65,396.83,8674
2023-12-06,401.86,412.64,401.15,411.93,23602
2023-12-07,411.93,425.58,408.84,425.58,69715
2023-12-10,433.92,450.74,433.92,447.14,5331
2023-12-11,447.14,454.33,432.77,447.14,78498
2023-12-12,453.61,460.08,447.14,454.33,47592
2023-12-13,454.33,457.92,437.15,444.99,27379
2023-12-14,439.96,443.55,436.36,440.75,38669
2023-12-17,432.12,446.43,432.12,446.28,26500
2023-12-18,454.33,454.33,440.68,447.14,44514
2023-12-19,445.71,460.08,440.03,459.36,54565
2023-12-20,459.36,462.6,447.14,454.33,52325
2023-12-21,450.74,455.05,440.89,445.71,29995
2023-12-24,440.32,454.33,430.61,442.83,53608
2023-12-27,437.8,460.08,437.8,450.74,64269
2023-12-28,454.33,474.96,450.02,467.34,103988
2024-01-01,467.34,485.96,467.34,475.89,73491
2024-01-02,475.1,475.1,457.92,458.64,43242
2024-01-03,467.27,470.57,455.77,470.57,45492
2024-01-04,475.89,477.33,465.11,465.11,38639
2024-01-07,465.11,468.71,457.92,457.92,65488
2024-01-08,466.91,470.86,459.36,468.71,28265
2024-01-09,475.75,479.49,468.71,469.5,48947
2024-01-10,478.62,485.96,469.5,469.5,36806
2024-01-11,474.46,474.46,457.92,458.64,19658
2024-01-14,460.22,472.3,458.64,464.39,13494
2024-01-16,465.11,500.62,457.92,497.46,96952
2024-01-17,497.46,508.95,480.64,486.6,52007
2024-01-18,477.33,488.83,474.46,480.21,43439
2024-01-21,489.62,489.62,465.11,470.14,45415
2024-01-22,470.36,478.05,458.36,459.36,39461
2024-01-23,465.83,468.71,460.08,464.39,26696
2024-01-24,472.3,472.3,458.64,459.36,12625
2024-01-25,459.36,467.99,456.49,459.36,11154
2024-01-28,468.27,468.27,459.36,465.11,11705
2024-01-29,471.58,471.58,460.94,461.52,15805
2024-01-30,469.78,473.45,462.02,464.39,24202
2024-01-31,465.97,467.99,457.92,459.0,35216
2024-02-01,459.36,465.11,447.14,451.24,35211
2024-02-04,451.46,457.21,450.02,453.54,65524
2024-02-05,462.41,470.73,446.96,447.75,16992
2024-02-06,445.38,483.81,445.38,480.24,11495
2024-02-07,470.81,470.81,457.26,457.26,19254
2024-02-08,457.26,465.19,450.92,457.42,5579
2024-02-11,460.43,460.43,448.55,449.34,11917
2024-02-12,458.06,460.43,444.66,460.35,13714
2024-02-13,452.51,457.98,444.58,450.92,37095
2024-02-14,458.06,458.06,446.48,448.47,8988
2024-02-15,448.55,455.68,442.28,444.5,20934
2024-02-18,441.41,444.58,433.57,438.24,16482
2024-02-20,436.66,444.58,434.28,434.28,10170
2024-02-21,438.24,438.24,429.21,432.7,6325
2024-02-22,432.7,436.66,421.68,422.39,9173
2024-02-25,422.39,424.77,416.85,420.81,12142
2024-02-26,429.05,429.05,416.85,427.94,8572
2024-02-27,427.94,434.28,420.81,431.11,4083
2024-02-28,428.73,435.47,423.19,428.65,13171
2024-02-29,427.94,431.9,416.85,417.0,7792
2024-03-03,417.0,436.66,416.05,420.81,9767
2024-03-04,429.05,446.01,429.05,446.01,30
2024-03-05,446.17,446.17,429.84,429.84,11228
2024-03-06,421.6,440.62,421.6,427.94,16461
2024-03-07,432.7,436.26,428.89,431.19,13240
2024-03-10,431.19,448.55,431.19,444.58,27105
2024-03-12,453.3,464.55,447.04,462.26,20020
2024-03-13,457.34,468.36,454.89,458.21,21199
2024-03-14,450.13,457.42,448.55,449.34,26221
2024-03-17,446.96,454.96,446.64,447.75,17155
2024-03-18,454.09,454.09,443.16,445.53,12009
2024-03-19,454.25,454.25,444.58,444.74,11052
2024-03-20,441.41,449.97,441.41,443.08,10742
2024-03-21,443.08,451.48,439.83,440.62,10019
2024-03-25,436.66,438.01,428.73,431.19,10380
2024-03-26,434.91,434.91,428.89,432.7,6732
2024-03-27,432.7,435.07,428.73,430.32,6996
2024-03-28,425.56,432.7,425.56,431.11,14247
2024-03-31,431.11,436.5,426.44,428.73,7505
2024-04-01,425.17,428.73,425.17,425.4,9007
