timestamp,open,high,low,close,volume
2023-08-13,253.6,278.9,253.6,278.9,4197
2023-08-14,284.4,306.7,284.4,306.7,4320
2023-08-15,312.8,337.3,288.1,312.0,60856
2023-08-16,315.0,318.0,288.0,308.0,21018
2023-08-17,302.0,331.0,298.2,327.0,11300
2023-08-20,325.0,330.0,297.5,297.5,11545
2023-08-21,291.6,300.5,291.5,295.0,5930
2023-08-22,290.0,311.9,290.0,306.0,5120
2023-08-23,312.1,312.1,301.2,307.5,6450
2023-08-24,301.5,309.0,293.5,299.0,7345
2023-08-27,293.1,293.1,281.1,281.7,3930
2023-08-28,280.0,285.2,269.1,276.5,5020
2023-08-29,277.0,287.0,271.0,273.0,3630
2023-08-30,268.0,281.0,268.0,277.1,2490
2023-09-03,272.6,277.4,262.1,269.0,4350
2023-09-04,264.1,295.0,264.0,294.0,8672
2023-09-05,290.0,294.0,281.5,292.3,4994
2023-09-07,286.5,313.0,275.6,297.0,4230
2023-09-10,291.1,306.9,285.4,289.0,3660
2023-09-11,283.3,306.5,283.3,296.0,6670
2023-09-12,290.1,316.0,287.4,316.0,7254
2023-09-13,316.0,321.9,302.0,316.2,4555
2023-09-17,309.9,320.0,292.4,314.0,7578
2023-09-18,307.8,315.0,298.0,314.0,4883
2023-09-19,307.8,345.4,304.6,330.0,9589
2023-09-21,335.1,348.0,330.0,334.0,9341
2023-09-24,327.7,349.8,322.1,349.8,9301
2023-09-25,348.0,374.3,342.0,367.0,6800
2023-09-26,374.0,375.3,354.9,373.0,13860
2023-09-27,365.6,365.6,346.2,353.9,10380
2023-10-01,346.9,346.9,321.5,329.0,13660
2023-10-02,323.4,344.7,314.3,344.7,10815
2023-10-03,337.9,358.0,331.3,353.0,10872
2023-10-04,348.0,362.0,340.0,350.0,16381
2023-10-05,350.0,362.0,348.0,357.0,8255
2023-10-08,349.9,350.0,333.3,347.3,7860
2023-10-09,340.7,361.2,335.0,340.0,8770
2023-10-10,346.8,346.8,333.2,340.0,3170
2023-10-11,335.0,346.0,323.2,346.0,3755
2023-10-12,339.1,339.1,322.0,322.1,10955
2023-10-16,316.0,322.0,305.1,313.0,2872
2023-10-17,313.0,344.0,310.0,318.0,3751
2023-10-18,324.3,326.1,313.0,326.1,5881
2023-10-19,319.6,325.9,308.0,325.3,840
2023-10-29,319.0,319.0,303.3,313.0,1610
2023-10-30,306.8,312.6,304.1,312.6,1870
2023-10-31,308.0,315.2,308.0,314.0,1980
2023-11-01,307.8,315.0,294.0,312.9,12083
2023-11-02,306.7,309.8,297.8,303.0,4353
2023-11-05,297.0,308.9,285.6,305.0,1000
2023-11-06,298.9,309.9,298.9,309.9,2795
2023-11-07,304.0,312.0,298.2,309.9,1350
2023-11-08,310.0,312.1,300.0,311.9,2753
2023-11-09,317.9,317.9,295.0,306.0,959
2023-11-20,300.5,312.0,296.2,306.0,2820
2023-11-21,300.0,300.9,288.0,300.4,2270
2023-11-22,300.0,306.0,295.0,306.0,2190
2023-11-23,299.9,311.9,295.2,308.0,2747
2023-11-26,303.1,320.3,303.1,316.0,7963
2023-11-27,316.0,347.6,313.0,347.6,25421
2023-11-28,347.6,364.0,347.0,357.0,6500
2023-11-29,357.0,350.0,337.6,341.0,4060
2023-11-30,334.2,340.0,328.0,332.0,6262
2023-12-03,325.5,338.3,319.0,337.0,4466
2023-12-04,343.1,355.0,322.2,331.0,2130
2023-12-05,326.0,339.6,325.4,331.0,5480
2023-12-06,327.1,357.5,327.1,333.0,1450
2023-12-07,339.6,344.0,326.3,342.0,8135
2023-12-10,348.8,361.0,348.8,361.0,630
