ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,1191,3671434,1468573.64,4372678013.10,1749071205,0.10 %,5193.24
ADBL,Agricultural Development Bank Limited,297,138552244,67890599.68,41150016537.88,20163508104,0.91 %,41937.94
AHL,Asian Hydropower Limited,827,3400000,823200.00,2811800000.00,680786400,0.06 %,13318.86
AHPC,Arun Valley Hydropower Development Co. Ltd.,269,38480027,38480026.81,10351127212.12,10351127212,0.23 %,138605.34
AKJCL,Ankhu Khola Jalvidhyut Company Ltd,203.8,18249752,18249752.00,3719299457.60,3719299458,0.08 %,197871.6
AKPL,Arun Kabeli Power Ltd.,243.9,38959421,38959421.00,9502202781.90,9502202782,0.21 %,118831.74
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,920,7330463,2382400.41,6744025776.00,2191808377,0.15 %,7333.54
ALICL,Asian Life Insurance Co. Limited,773.9,33998363,16659197.90,26311333175.18,12892553256,0.58 %,25046.04
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,5248,783433,255634.13,4111455413.12,1341567901,0.09 %,2703.22
API,API Power Company Limited,278,60759278,60759278.05,16891079299.29,16891079299,0.37 %,153409.74
AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,1214,2500000,975000.00,3035000000.00,1183650000,0.07 %,10775.22
BARUN,Barun Hydropower Co. Ltd.,506,5358150,5358150.00,2711223900.00,2711223900,0.06 %,106046.4
BBC,Bishal Bazar Company Limited,5769,491400,73710.00,2834886600.00,425232990,0.06 %,2114.72
BEDC,Bhugol Energy Development Company Limited,943,5440534,1525377.87,5130423562.00,1438431330,0.11 %,68316.54
BFC,Best Finance Company Ltd.,599,8904242,3561696.96,5333641197.60,2133456479,0.12 %,112649.28
BGWT,Bhagawati Hydropower Development Company Ltd,1149,5949473,874572.40,6835944339.12,1004883688,0.15 %,13434.08
BHDC,Bindhyabasini Hydropower Development Company Limited,712,11340000,1632960.00,8074080000.00,1162667520,0.18 %,24677.5
BHL,Balephi Hydropower Limited,386,36559400,3509702.00,14111928400.00,1354744972,0.31 %,17094.88
BHPL,Barahi Hydropower Public Limited,1096.9,2500000,584920.00,2742250000.00,641598748,0.06 %,16738.64
BNHC,Buddha Bhumi Nepal Hydro Power Co. Ltd.,562,4000000,4000000.00,2248000000.00,2248000000,0.05 %,30037.08
BNL,Bottlers Nepal (Balaju) Limited,19559.8,1948887,179687.38,38119839942.60,3514649243,0.85 %,56.88
